price,title,category,stock,rating,demand
1200,Product 1,Electronics,45,4.2,High
850,Product 2,Clothing,120,3.8,Medium
560,Product 3,Home,78,4.5,High
2300,Product 4,Electronics,30,4.7,High
150,Product 5,Food,200,3.5,Low
999,Product 6,Clothing,60,4.1,Medium
450,Product 7,Home,90,4.0,Medium
1750,Product 8,Electronics,25,4.6,High
300,Product 9,Food,180,3.9,Low
2200,Product 10,Electronics,40,4.3,High
1100,Product 11,Clothing,55,4.0,Medium
700,Product 12,Home,85,4.2,Medium
2600,Product 13,Electronics,20,4.8,High
180,Product 14,Food,210,3.6,Low
950,Product 15,Clothing,65,4.1,Medium
500,Product 16,Home,75,4.3,Medium
2000,Product 17,Electronics,35,4.5,High
350,Product 18,Food,160,3.7,Low
1250,Product 19,Clothing,50,4.2,Medium
600,Product 20,Home,95,4.0,Medium
2100,Product 21,Electronics,28,4.6,High
175,Product 22,Food,220,3.5,Low
1050,Product 23,Clothing,70,4.1,Medium
480,Product 24,Home,88,4.2,Medium
2400,Product 25,Electronics,22,4.7,High
320,Product 26,Food,170,3.8,Low
1150,Product 27,Clothing,58,4.0,Medium
650,Product 28,Home,80,4.3,Medium
1900,Product 29,Electronics,32,4.5,High
290,Product 30,Food,190,3.9,Low
1300,Product 31,Clothing,48,4.2,Medium
720,Product 32,Home,82,4.1,Medium
2500,Product 33,Electronics,18,4.8,High
210,Product 34,Food,205,3.6,Low
900,Product 35,Clothing,68,4.0,Medium
550,Product 36,Home,92,4.2,Medium
2300,Product 37,Electronics,26,4.6,High
310,Product 38,Food,175,3.7,Low
1000,Product 39,Clothing,63,4.1,Medium
670,Product 40,Home,87,4.3,Medium
2700,Product 41,Electronics,15,4.9,High
240,Product 42,Food,198,3.5,Low
980,Product 43,Clothing,72,4.2,Medium
530,Product 44,Home,93,4.1,Medium
2200,Product 45,Electronics,29,4.5,High
360,Product 46,Food,165,3.8,Low
1080,Product 47,Clothing,57,4.0,Medium
620,Product 48,Home,84,4.2,Medium
2100,Product 49,Electronics,34,4.6,High
280,Product 50,Food,185,3.9,Low
1350,Product 51,Clothing,46,4.1,Medium
710,Product 52,Home,89,4.3,Medium
2600,Product 53,Electronics,19,4.8,High
200,Product 54,Food,215,3.6,Low
890,Product 55,Clothing,74,4.0,Medium
540,Product 56,Home,91,4.2,Medium
2400,Product 57,Electronics,24,4.7,High
330,Product 58,Food,168,3.7,Low
1020,Product 59,Clothing,61,4.1,Medium
690,Product 60,Home,86,4.3,Medium
2000,Product 61,Electronics,31,4.5,High
270,Product 62,Food,195,3.8,Low
1200,Product 63,Clothing,52,4.2,Medium
640,Product 64,Home,88,4.1,Medium
2500,Product 65,Electronics,17,4.8,High
260,Product 66,Food,202,3.6,Low
970,Product 67,Clothing,69,4.0,Medium
560,Product 68,Home,90,4.2,Medium
2300,Product 69,Electronics,27,4.6,High
340,Product 70,Food,178,3.7,Low
1100,Product 71,Clothing,60,4.1,Medium
680,Product 72,Home,85,4.3,Medium
2700,Product 73,Electronics,14,4.9,High
220,Product 74,Food,210,3.5,Low
940,Product 75,Clothing,75,4.0,Medium
520,Product 76,Home,92,4.2,Medium
2100,Product 77,Electronics,33,4.5,High
300,Product 78,Food,170,3.8,Low
1250,Product 79,Clothing,54,4.2,Medium
700,Product 80,Home,83,4.1,Medium
2600,Product 81,Electronics,21,4.8,High
250,Product 82,Food,200,3.6,Low
990,Product 83,Clothing,67,4.1,Medium
580,Product 84,Home,89,4.2,Medium
2400,Product 85,Electronics,23,4.7,High
310,Product 86,Food,176,3.7,Low
1070,Product 87,Clothing,59,4.0,Medium
630,Product 88,Home,84,4.3,Medium
2200,Product 89,Electronics,30,4.5,High
280,Product 90,Food,188,3.9,Low
1320,Product 91,Clothing,47,4.1,Medium
720,Product 92,Home,82,4.2,Medium
2500,Product 93,Electronics,18,4.8,High
210,Product 94,Food,205,3.6,Low
880,Product 95,Clothing,73,4.0,Medium
510,Product 96,Home,91,4.2,Medium
2300,Product 97,Electronics,26,4.6,High
330,Product 98,Food,174,3.7,Low
1030,Product 99,Clothing,62,4.1,Medium
690,Product 100,Home,87,4.3,Medium
2000,Product 101,Electronics,31,4.5,High
260,Product 102,Food,190,3.8,Low
1210,Product 103,Clothing,53,4.2,Medium
640,Product 104,Home,88,4.1,Medium
2450,Product 105,Electronics,20,4.7,High
240,Product 106,Food,200,3.6,Low
970,Product 107,Clothing,69,4.0,Medium
560,Product 108,Home,90,4.2,Medium
2250,Product 109,Electronics,28,4.6,High
350,Product 110,Food,178,3.7,Low
1120,Product 111,Clothing,60,4.1,Medium
680,Product 112,Home,85,4.3,Medium
2750,Product 113,Electronics,14,4.9,High
230,Product 114,Food,210,3.5,Low
940,Product 115,Clothing,75,4.0,Medium
520,Product 116,Home,92,4.2,Medium
2100,Product 117,Electronics,33,4.5,High
300,Product 118,Food,170,3.8,Low
1250,Product 119,Clothing,54,4.2,Medium
700,Product 120,Home,83,4.1,Medium
2600,Product 121,Electronics,21,4.8,High
250,Product 122,Food,200,3.6,Low
990,Product 123,Clothing,67,4.1,Medium
